input_image_list = [
    [209, 232, 196, 217, 255, 41, 25, 11, 195, 117, 97, 5, 18, 245, 59, 172, 194, 11, 135, 153, 187, 24, 26, 205, 238, 77, 89, 249, 39, 53, 251, 202],
    [228, 43, 140, 208, 249, 230, 66, 215, 162, 24, 213, 173, 198, 172, 254, 150, 239, 18, 68, 65, 236, 117, 81, 55, 104, 106, 183, 24, 107, 246, 223, 233],
    [47, 74, 138, 162, 96, 206, 170, 223, 252, 132, 212, 99, 218, 107, 180, 90, 125, 116, 213, 34, 193, 219, 147, 170, 72, 222, 53, 146, 228, 153, 236, 174],
    [190, 133, 63, 179, 216, 144, 222, 37, 57, 75, 192, 180, 39, 167, 223, 36, 111, 228, 89, 15, 159, 176, 21, 101, 238, 227, 0, 208, 1, 84, 0, 49],
    [161, 200, 169, 183, 89, 210, 86, 195, 40, 126, 211, 51, 131, 29, 189, 212, 200, 139, 245, 198, 217, 150, 226, 239, 18, 148, 21, 23, 63, 248, 252, 26],
    [202, 38, 102, 75, 192, 124, 105, 14, 200, 162, 29, 41, 10, 249, 153, 242, 110, 201, 21, 144, 97, 135, 67, 53, 128, 84, 62, 216, 90, 214, 71, 109],
    [2, 179, 194, 38, 255, 137, 67, 108, 163, 15, 218, 36, 246, 50, 122, 18, 120, 4, 19, 33, 72, 201, 134, 1, 73, 26, 90, 152, 104, 59, 42, 181],
    [53, 246, 242, 15, 189, 201, 3, 220, 20, 136, 25, 102, 2, 71, 57, 210, 224, 17, 220, 221, 120, 147, 16, 245, 14, 65, 233, 144, 90, 148, 48, 109],
    [83, 79, 115, 174, 206, 38, 54, 20, 205, 184, 226, 121, 2, 117, 251, 5, 240, 64, 171, 89, 185, 217, 10, 120, 14, 197, 204, 71, 193, 7, 20, 220],
    [228, 188, 107, 19, 213, 228, 136, 230, 27, 8, 136, 26, 45, 151, 27, 145, 162, 84, 36, 171, 252, 95, 198, 114, 113, 167, 117, 135, 33, 179, 0, 95],
    [50, 137, 118, 226, 210, 240, 60, 46, 116, 63, 192, 74, 199, 222, 89, 15, 6, 153, 166, 55, 95, 139, 66, 45, 163, 92, 182, 131, 199, 141, 115, 154],
    [214, 153, 238, 24, 42, 169, 252, 68, 230, 103, 52, 155, 50, 248, 250, 148, 22, 62, 204, 224, 90, 48, 164, 164, 60, 63, 111, 99, 94, 253, 110, 231],
    [179, 100, 103, 16, 79, 32, 79, 221, 10, 13, 151, 62, 159, 46, 140, 181, 13, 126, 117, 64, 35, 15, 185, 124, 38, 115, 88, 80, 132, 0, 193, 102],
    [131, 104, 86, 193, 27, 184, 54, 103, 143, 221, 163, 79, 93, 127, 242, 219, 106, 244, 186, 109, 95, 223, 218, 27, 98, 21, 155, 51, 189, 89, 178, 211],
    [91, 101, 128, 44, 192, 123, 59, 166, 50, 5, 171, 30, 253, 166, 99, 199, 45, 60, 136, 136, 41, 240, 187, 240, 43, 141, 177, 153, 33, 16, 179, 115],
    [150, 7, 74, 140, 175, 75, 128, 134, 109, 189, 5, 224, 232, 117, 211, 153, 235, 130, 144, 10, 75, 42, 132, 245, 218, 152, 125, 87, 42, 63, 171, 229],
    [254, 79, 45, 21, 54, 132, 107, 173, 80, 245, 139, 242, 73, 206, 105, 85, 123, 54, 71, 223, 87, 50, 251, 250, 79, 125, 225, 114, 12, 188, 22, 159],
    [247, 205, 76, 75, 147, 120, 143, 87, 169, 101, 127, 48, 187, 149, 176, 144, 41, 91, 50, 95, 229, 181, 251, 182, 185, 91, 55, 232, 108, 81, 44, 43],
    [73, 127, 238, 50, 154, 240, 148, 173, 250, 248, 50, 81, 61, 135, 101, 140, 38, 20, 161, 100, 147, 51, 243, 111, 160, 43, 226, 29, 92, 9, 7, 27],
    [238, 140, 105, 234, 61, 46, 104, 238, 21, 107, 180, 255, 122, 73, 179, 134, 219, 178, 89, 109, 128, 9, 14, 201, 220, 200, 11, 174, 227, 228, 121, 51],
    [223, 22, 218, 50, 84, 217, 152, 132, 180, 31, 124, 199, 63, 143, 77, 34, 16, 244, 55, 52, 79, 160, 8, 48, 110, 38, 251, 46, 178, 33, 28, 224],
    [46, 164, 98, 153, 253, 195, 37, 134, 238, 204, 16, 213, 253, 206, 250, 164, 95, 96, 214, 55, 220, 156, 101, 125, 204, 222, 138, 208, 189, 12, 249, 172],
    [144, 231, 171, 177, 32, 54, 16, 213, 217, 59, 70, 120, 120, 201, 174, 65, 220, 141, 198, 105, 31, 182, 94, 192, 215, 173, 8, 13, 157, 226, 83, 11],
    [90, 143, 7, 116, 130, 231, 81, 155, 163, 26, 24, 68, 171, 179, 170, 49, 167, 210, 11, 178, 217, 8, 4, 239, 252, 217, 72, 175, 176, 148, 82, 153],
    [48, 250, 25, 181, 81, 227, 48, 198, 250, 47, 205, 110, 14, 50, 176, 197, 38, 78, 56, 151, 245, 224, 106, 225, 134, 25, 241, 74, 244, 34, 26, 123],
    [250, 48, 0, 76, 225, 24, 238, 65, 34, 236, 227, 110, 162, 62, 126, 79, 54, 188, 232, 48, 101, 163, 108, 201, 125, 248, 92, 184, 59, 22, 9, 169],
    [144, 105, 0, 85, 49, 169, 45, 18, 162, 140, 117, 149, 34, 115, 95, 91, 101, 57, 65, 161, 153, 127, 46, 97, 118, 244, 124, 218, 168, 173, 88, 1],
